Larian Studios NV,Baldur's Gate III
Nintendo EPD,The Legend of Zelda: Tears of the Kingdom
Team ASOBI,Astro Bot
Retro Studios Inc.,Metroid Prime: Remastered
"FromSoftware, Inc.",Elden Ring
"Supergiant Games, Inc.",Hades II
"Atlus Co., Ltd.",Metaphor: ReFantazio
Sandfall SAS,Clair Obscur: Expedition 33
SIE Santa Monica Studio,God of War: Ragnarök
"Capcom Co., Ltd.",Resident Evil 4
Team Cherry Pty Ltd.,Hollow Knight: Silksong
Hazelight Studios AB,Split Fiction
LocalThunk Inc.,Balatro
Ryu ga Gotoku Studio,Like a Dragon: Infinite Wealth
Nintendo EPD,Super Mario Bros. Wonder
"Capcom Co., Ltd.",Street Fighter 6
Square Enix Creative Business Unit I,Final Fantasy VII: Rebirth
Type-Moon,Tsukihime: A piece of blue glass moon
Nintendo EPD,Donkey Kong Bananza
"Atlus Co., Ltd.",Persona 5: Royal
Shared Memory LLC,Animal Well
"Dogubomb, Inc.",Blue Prince
Sucker Punch Productions LLC,Ghost of Tsushima: Director's Cut
"Double Fine Productions, Inc.",Psychonauts 2
Warhorse Studios s.r.o.,Kingdom Come: Deliverance II
Bandai Namco Studios Inc.,Tekken 8
"Arika Co., Ltd.",Tekken 8
Valve Corporation,Half-Life: Alyx
Hazelight Studios AB,It Takes Two
"Square Enix Co., Ltd.",Final Fantasy VII: Remake
"Capcom Co., Ltd.",Monster Hunter: Wilds
"Naughty Dog, Inc.",The Last of Us: Part II
"Monolith Software, Inc.",Xenoblade Chronicles 3
Mercury Steam Entertainment S.L.,Metroid Dread
Nintendo EPD,Metroid Dread
Asobo Studio S.A.R.L.,Microsoft Flight Simulator
Moon Studios GmbH,Ori and the Will of the Wisps
"Konami Digital Entertainment Co., Ltd.",Castlevania: Dominus Collection
"M2 Co., Ltd.",Castlevania: Dominus Collection
Playground Games Ltd,Forza Horizon 5
"Naughty Dog, Inc.",The Last of Us: Part I
"Kojima Productions Co., Ltd.",Death Stranding 2: On the Beach
"Black Tabby Games, LLC",Slay the Princess
Tango Gameworks,Hi-Fi Rush
"Intelligent Systems Co., Ltd.",Paper Mario: The Thousand-Year Door
"Insomniac Games, Inc.",Marvel Spider-Man 2
MINTROCKET,Dave the Diver
"Atlus Co., Ltd.",Shin Megami Tensei V: Vengeance
"Naughty Dog, Inc.",Uncharted: Digital Bundle
"Mossmouth, LLC",UFO 50
"Bluepoint Games, Inc.",Demon's Souls
Sony Interactive Entertainment Japan Studio,Demon's Souls
Lizardcube,Shinobi: Art of Vengeance
Guard Crush Games Inc.,Absolum
Supamonks Studio,Absolum
DotEmu SAS,Absolum
Motive Studio,Dead Space
Remedy Entertainment Oyj,Alan Wake II
Sabotage Studio Inc.,Sea of Stars
"Atlus Co., Ltd.",Persona 3: Reload
"Kojima Productions Co., Ltd.",Death Stranding: Director's Cut
Vanillaware Ltd.,Unicorn Overlord
Nintendo EPD,Super Mario 3D World + Bowser’s Fury
