Baldur's Gate III,Macintosh,"Oct 6, 2020",In Development version (GOG.com release),59.99
Baldur's Gate III,Macintosh,"Oct 6, 2020",Early Access version (Steam release),59.99
Baldur's Gate III,Macintosh,"Sep 22, 2023",Steam release,59.99
Baldur's Gate III,Macintosh,"Sep 22, 2023",GOG.com release,59.99
Baldur's Gate III,PlayStation 5,"Sep 6, 2023",download release,59.99
Baldur's Gate III,Stadia,"Oct 6, 2020",Early Access version,59.99
Baldur's Gate III,Windows,"Oct 6, 2020",In Development version (GOG.com release),59.99
Baldur's Gate III,Windows,"Oct 6, 2020",Early Access version (Steam release),59.99
Baldur's Gate III,Windows,"Aug 3, 2023",Steam release,59.99
Baldur's Gate III,Windows,"Aug 3, 2023",GOG.com release,59.99
Baldur's Gate III,Xbox Series,"Dec 8, 2023",download release,59.99
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,"May 12, 2023",retail release,0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,"May 12, 2023",retail release,0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,"May 12, 2023",download release,0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,"May 12, 2023",retail release,0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,"May 12, 2023",retail release,0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,"May 12, 2023",retail release,0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,"May 12, 2023",retail release,0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,"May 12, 2023",retail release,0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,"May 12, 2023",retail release,0
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch 2,"Jun 5, 2025",download release,0
Astro Bot,PlayStation 5,"Sep 5, 2024",download release,0
Astro Bot,PlayStation 5,"Sep 6, 2024",retail release,0
Astro Bot,PlayStation 5,"Sep 6, 2024",download release,59.99
Astro Bot,PlayStation 5,"Sep 6, 2024",retail release,59.99
Astro Bot,PlayStation 5,"Sep 6, 2024",download release,59.99
Metroid Prime: Remastered,Nintendo Switch,"Feb 8, 2023",download release,0
Metroid Prime: Remastered,Nintendo Switch,"Feb 8, 2023",download release,0
Metroid Prime: Remastered,Nintendo Switch,"Feb 9, 2023",download release,0
Metroid Prime: Remastered,Nintendo Switch,"Feb 9, 2023",download release,0
Metroid Prime: Remastered,Nintendo Switch,"Feb 22, 2023",retail release,0
Metroid Prime: Remastered,Nintendo Switch,"Feb 22, 2023",retail release,0
Metroid Prime: Remastered,Nintendo Switch,"Mar 3, 2023",retail release,0
Metroid Prime: Remastered,Nintendo Switch,"Mar 6, 2023",retail release,0
Elden Ring,PlayStation 4,"Feb 25, 2022",download release,0
Elden Ring,PlayStation 5,"Feb 25, 2022",download release,0
Elden Ring,PlayStation 5,"Feb 25, 2022",retail release,0
Elden Ring,Windows,"Feb 25, 2022",Steam release,0
Elden Ring,Xbox One,"Feb 25, 2022",download release,0
Elden Ring,Xbox Series,"Feb 25, 2022",download release,0
Hades II,Macintosh,"Oct 16, 2024",Early Access version (Steam release),29.99
Hades II,Macintosh,"Sep 25, 2025",Steam release,29.99
Hades II,Macintosh,"Sep 25, 2025",Epic Games Store release,29.99
Hades II,Nintendo Switch,"Sep 25, 2025",download release,29.99
Hades II,Nintendo Switch 2,"Sep 25, 2025",download release,29.99
Hades II,Windows,"May 6, 2024",Early Access version (Steam release),29.99
Hades II,Windows,"May 6, 2024",Early Access version (Epic Games Store release),29.99
Hades II,Windows,"Sep 25, 2025",Steam release,29.99
Hades II,Windows,"Sep 25, 2025",Epic Games Store release,29.99
Metaphor: ReFantazio,PlayStation 4,"Oct 11, 2024",download release,69.99
Metaphor: ReFantazio,PlayStation 5,"Oct 11, 2024",download release,69.99
Metaphor: ReFantazio,Windows,"Oct 11, 2024",Steam release,69.99
Metaphor: ReFantazio,Windows Apps,"Oct 11, 2024",download release,69.99
Metaphor: ReFantazio,Xbox Series,"Oct 11, 2024",download release,69.99
Clair Obscur: Expedition 33,PlayStation 5,"Apr 24, 2025",,0
Clair Obscur: Expedition 33,PlayStation 5,"Apr 24, 2025",download release,49.99
Clair Obscur: Expedition 33,Windows,"Apr 24, 2025",Steam release,49.99
Clair Obscur: Expedition 33,Windows,"Apr 24, 2025",STOVE release,49.99
Clair Obscur: Expedition 33,Windows,"Apr 24, 2025",Epic Games Store release,49.99
Clair Obscur: Expedition 33,Windows,"Sep 25, 2025",GOG.com release,49.99
Clair Obscur: Expedition 33,Windows Apps,"Apr 24, 2025",GOG.com release,49.99
Clair Obscur: Expedition 33,Xbox Cloud Gaming,"Apr 24, 2025",GOG.com release,49.99
Clair Obscur: Expedition 33,Xbox Series,"Apr 24, 2025",download release,49.99
