Baldur's Gate III,Macintosh,ESRB Rating:,Mature
Baldur's Gate III,Macintosh,PEGI Rating:,18
Baldur's Gate III,Macintosh,USK Rating:,18 (keine Jugendfreigabe)
Baldur's Gate III,PlayStation 5,ESRB Rating:,Mature
Baldur's Gate III,PlayStation 5,PEGI Rating:,18
Baldur's Gate III,PlayStation 5,USK Rating:,18 (keine Jugendfreigabe)
Baldur's Gate III,PlayStation 5,ACB Rating:,MA 15+
Baldur's Gate III,PlayStation 5,ClassInd Rating:,16
Baldur's Gate III,PlayStation 5,IARC Rating:,18+
Baldur's Gate III,Windows,ESRB Rating:,Mature
Baldur's Gate III,Windows,PEGI Rating:,18
Baldur's Gate III,Windows,USK Rating:,18 (keine Jugendfreigabe)
Baldur's Gate III,Xbox Series,ESRB Rating:,Mature
Baldur's Gate III,Xbox Series,PEGI Rating:,18
Baldur's Gate III,Xbox Series,USK Rating:,18 (keine Jugendfreigabe)
Baldur's Gate III,Xbox Series,RARS Rating:,18+
Baldur's Gate III,Xbox Series,GRAC Rating:,18+
Baldur's Gate III,Xbox Series,ACB Rating:,MA 15+
Baldur's Gate III,Xbox Series,ClassInd Rating:,16
Baldur's Gate III,Xbox Series,GSRR/TESRI Rating:,Restricted (18+)
Baldur's Gate III,Xbox Series,IARC Rating:,18+
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,ESRB Rating:,Everyone 10+
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,PEGI Rating:,12
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,USK Rating:,12
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,CERO Rating:,B
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,ACB Rating:,M
Astro Bot,PlayStation 5,ESRB Rating:,Everyone 10+
Astro Bot,PlayStation 5,PEGI Rating:,7
Astro Bot,PlayStation 5,USK Rating:,6
Astro Bot,PlayStation 5,CERO Rating:,A
Astro Bot,PlayStation 5,GRAC Rating:,All
Astro Bot,PlayStation 5,ACB Rating:,G
Astro Bot,PlayStation 5,ClassInd Rating:,L
Astro Bot,PlayStation 5,SMECCV Rating:,B (+12 Años)
Metroid Prime: Remastered,Nintendo Switch,ESRB Rating:,Teen
Metroid Prime: Remastered,Nintendo Switch,PEGI Rating:,12
Metroid Prime: Remastered,Nintendo Switch,USK Rating:,12
Metroid Prime: Remastered,Nintendo Switch,RARS Rating:,12+
Metroid Prime: Remastered,Nintendo Switch,CERO Rating:,B
Metroid Prime: Remastered,Nintendo Switch,ACB Rating:,M
Metroid Prime: Remastered,Nintendo Switch,SMECCV Rating:,B15 (+15 Años)
Elden Ring,PlayStation 4,CERO Rating:,D
Elden Ring,PlayStation 5,CERO Rating:,D
Elden Ring,Windows,PEGI Rating:,16
Hades II,Macintosh,PEGI Rating:,12
Hades II,Windows,PEGI Rating:,12
Metaphor: ReFantazio,PlayStation 4,ESRB Rating:,Teen
Metaphor: ReFantazio,PlayStation 4,ACB Rating:,MA 15+
Metaphor: ReFantazio,PlayStation 5,ESRB Rating:,Teen
Metaphor: ReFantazio,PlayStation 5,ACB Rating:,MA 15+
Metaphor: ReFantazio,Windows,PEGI Rating:,16
Metaphor: ReFantazio,Xbox Series,ESRB Rating:,Teen
Clair Obscur: Expedition 33,PlayStation 5,ESRB Rating:,Mature
Clair Obscur: Expedition 33,PlayStation 5,PEGI Rating:,18
Clair Obscur: Expedition 33,PlayStation 5,USK Rating:,16
