Baldur's Gate III,Macintosh,Business Model:,Commercial
Baldur's Gate III,Macintosh,Minimum OS Class Required:,macOS 10.15.6
Baldur's Gate III,Macintosh,Supported Systems/Models:,x64 (64-bit)
Baldur's Gate III,Macintosh,Minimum RAM Required:,8 GB
Baldur's Gate III,Macintosh,Drivers/APIs Supported:,Vulkan
Baldur's Gate III,Macintosh,Media Type:,Download
Baldur's Gate III,Macintosh,Minimum Video Memory Required:,4 GB
Baldur's Gate III,Macintosh,Input Devices Supported/Optional:,Gamepad
Baldur's Gate III,Macintosh,Input Devices Supported/Optional:,Keyboard
Baldur's Gate III,Macintosh,Input Devices Supported/Optional:,Mouse
Baldur's Gate III,Macintosh,Gamepads Supported:,DualShock 4
Baldur's Gate III,Macintosh,Gamepads Supported:,Xbox One/Series Wireless Controller
Baldur's Gate III,Macintosh,Additional Hardware Required:,3D Accelerator
Baldur's Gate III,Macintosh,Multiplayer Options:,Internet
Baldur's Gate III,Macintosh,Multiplayer Options:,LAN
Baldur's Gate III,Macintosh,Multiplayer Options:,Same/Split-Screen
Baldur's Gate III,Macintosh,Multiplayer Game Modes:,Co-Op
Baldur's Gate III,Macintosh,Number of Offline Players:,1-2 Players
Baldur's Gate III,Macintosh,Number of Online Players:,2-4 Players
Baldur's Gate III,Macintosh,GOG.com:,Achievements
Baldur's Gate III,Macintosh,GOG.com:,Cloud saves
Baldur's Gate III,Macintosh,GOG.com:,Co-op
Baldur's Gate III,Macintosh,GOG.com:,Overlay
Baldur's Gate III,Macintosh,GOG.com:,Single-player
Baldur's Gate III,Macintosh,Steam:,Achievements
Baldur's Gate III,Macintosh,Steam:,Cloud
Baldur's Gate III,Macintosh,Steam:,Cross-platform
Baldur's Gate III,Macintosh,Steam:,Trading cards
Baldur's Gate III,Macintosh,Steam:,Remote Play on TV
Baldur's Gate III,Macintosh,Steam:,Remote Play Together
Baldur's Gate III,Macintosh,Save Game Methods:,Auto-save
Baldur's Gate III,Macintosh,Save Game Methods:,Manual Save
Baldur's Gate III,Macintosh,Save Game Methods:,Internal Storage
Baldur's Gate III,Macintosh,Save Game Methods:,Cloud (Online)
Baldur's Gate III,Macintosh,Miscellaneous Attributes:,Cross-platform Play
Baldur's Gate III,Windows,Business Model:,Commercial
Baldur's Gate III,Windows,Minimum CPU Class Required:,Intel Core i5-4xxx
Baldur's Gate III,Windows,Minimum OS Class Required:,Windows 7 SP1
Baldur's Gate III,Windows,Supported Systems/Models:,x64 (64-bit)
Baldur's Gate III,Windows,Minimum RAM Required:,8 GB
Baldur's Gate III,Windows,Minimum DirectX Version Required:,DirectX 11
Baldur's Gate III,Windows,Drivers/APIs Supported:,Direct3D
Baldur's Gate III,Windows,Drivers/APIs Supported:,Vulkan
Baldur's Gate III,Windows,Media Type:,Download
Baldur's Gate III,Windows,Minimum Video Memory Required:,4 GB
Baldur's Gate III,Windows,Input Devices Supported/Optional:,Gamepad
Baldur's Gate III,Windows,Input Devices Supported/Optional:,Keyboard
Baldur's Gate III,Windows,Input Devices Supported/Optional:,Mouse
Baldur's Gate III,Windows,Gamepads Supported:,DualShock 4
Baldur's Gate III,Windows,Gamepads Supported:,DualSense Controller
Baldur's Gate III,Windows,Gamepads Supported:,Xbox One/Series Wireless Controller
Baldur's Gate III,Windows,Additional Hardware Required:,3D Accelerator
Baldur's Gate III,Windows,Multiplayer Options:,Internet
Baldur's Gate III,Windows,Multiplayer Options:,LAN
Baldur's Gate III,Windows,Multiplayer Options:,Same/Split-Screen
Baldur's Gate III,Windows,Multiplayer Game Modes:,Co-Op
Baldur's Gate III,Windows,Number of Offline Players:,1-2 Players
Baldur's Gate III,Windows,Number of Online Players:,2-4 Players
Baldur's Gate III,Windows,GOG.com:,Achievements
Baldur's Gate III,Windows,GOG.com:,Cloud saves
Baldur's Gate III,Windows,GOG.com:,Co-op
Baldur's Gate III,Windows,GOG.com:,Overlay
Baldur's Gate III,Windows,GOG.com:,Single-player
Baldur's Gate III,Windows,Steam:,Achievements
Baldur's Gate III,Windows,Steam:,Cloud
Baldur's Gate III,Windows,Steam:,Cross-platform
Baldur's Gate III,Windows,Steam:,Trading cards
Baldur's Gate III,Windows,Steam:,Remote Play on TV
Baldur's Gate III,Windows,Steam:,Remote Play Together
Baldur's Gate III,Windows,Save Game Methods:,Auto-save
Baldur's Gate III,Windows,Save Game Methods:,Manual Save
Baldur's Gate III,Windows,Save Game Methods:,Internal Storage
Baldur's Gate III,Windows,Save Game Methods:,Cloud (Online)
Baldur's Gate III,Windows,Miscellaneous Attributes:,Cross-platform Play
Baldur's Gate III,Xbox Series,Business Model:,Commercial
Baldur's Gate III,Xbox Series,Media Type:,Download
Baldur's Gate III,Xbox Series,Color Depth:,HDR (High Dynamic Range)
Baldur's Gate III,Xbox Series,Multiplayer Game Modes:,Co-Op
Baldur's Gate III,Xbox Series,Number of Online Players:,2-4 Players
Baldur's Gate III,Xbox Series,Xbox/Windows Live:,Achievements
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Business Model:,Commercial
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Media Type:,Download
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Media Type:,Game Card
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Input Devices Supported/Optional:,Joy-Con
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Input Devices Supported/Optional:,Nintendo Switch Pro Controller
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Input Devices Supported/Optional:,Touch Screen
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Number of Offline Players via Handheld Mode:,1 Player
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Number of Offline Players via Tabletop Mode:,1 Player
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Number of Offline Players via TV Mode:,1 Player
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Nintendo Switch Online:,Save Data Cloud
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Miscellaneous Attributes:,Amiibo
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Miscellaneous Attributes:,Handheld mode compatible
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Miscellaneous Attributes:,Tabletop mode compatible
The Legend of Zelda: Tears of the Kingdom,Nintendo Switch,Miscellaneous Attributes:,TV mode compatible
Astro Bot,PlayStation 5,Business Model:,Commercial
Astro Bot,PlayStation 5,Media Type:,Download
Astro Bot,PlayStation 5,Media Type:,UHD Blu-ray Disc
Astro Bot,PlayStation 5,Input Devices Supported/Optional:,Gamepad
Astro Bot,PlayStation 5,Input Device Features Supported:,Vibration
Astro Bot,PlayStation 5,Input Device Features Supported:,Trigger Effect
Astro Bot,PlayStation 5,Gamepads Supported:,DualSense Controller
Astro Bot,PlayStation 5,Number of Offline Players:,1 Player
Astro Bot,PlayStation 5,PlayStation Network:,Trophies
Astro Bot,PlayStation 5,Miscellaneous Attributes:,Remote Play
Metroid Prime: Remastered,Nintendo Switch,Business Model:,Commercial
Metroid Prime: Remastered,Nintendo Switch,Media Type:,Download
Metroid Prime: Remastered,Nintendo Switch,Media Type:,Game Card
Metroid Prime: Remastered,Nintendo Switch,Input Devices Supported/Optional:,Joy-Con
Metroid Prime: Remastered,Nintendo Switch,Input Devices Supported/Optional:,Nintendo Switch Pro Controller
Metroid Prime: Remastered,Nintendo Switch,Input Devices Supported/Optional:,Touch Screen
Metroid Prime: Remastered,Nintendo Switch,Number of Offline Players via Handheld Mode:,1 Player
Metroid Prime: Remastered,Nintendo Switch,Number of Offline Players via Tabletop Mode:,1 Player
Metroid Prime: Remastered,Nintendo Switch,Number of Offline Players via TV Mode:,1 Player
Metroid Prime: Remastered,Nintendo Switch,Nintendo Switch Online:,Save Data Cloud
Metroid Prime: Remastered,Nintendo Switch,Miscellaneous Attributes:,Handheld mode compatible
Metroid Prime: Remastered,Nintendo Switch,Miscellaneous Attributes:,Tabletop mode compatible
Metroid Prime: Remastered,Nintendo Switch,Miscellaneous Attributes:,TV mode compatible
Hades II,Macintosh,Business Model:,Commercial
Hades II,Macintosh,Minimum OS Class Required:,macOS 12 (Monterey)
Hades II,Macintosh,Supported Systems/Models:,x64 (64-bit)
Hades II,Macintosh,Media Type:,Download
Hades II,Macintosh,Input Devices Supported/Optional:,Gamepad
Hades II,Macintosh,Input Devices Supported/Optional:,Keyboard
Hades II,Macintosh,Input Devices Supported/Optional:,Mouse
Hades II,Macintosh,Gamepads Supported:,DualShock 4
Hades II,Macintosh,Gamepads Supported:,DualSense Controller
Hades II,Macintosh,Gamepads Supported:,Xbox One/Series Wireless Controller
Hades II,Macintosh,Additional Hardware Required:,3D Accelerator
Hades II,Macintosh,Number of Offline Players:,1 Player
Hades II,Macintosh,Steam:,Achievements
Hades II,Macintosh,Steam:,Cloud
Hades II,Macintosh,Save Game Methods:,Internal Storage
Hades II,Macintosh,Save Game Methods:,Cloud (Online)
Hades II,Windows,Business Model:,Commercial
Hades II,Windows,Minimum OS Class Required:,Windows 10
Hades II,Windows,Supported Systems/Models:,x64 (64-bit)
Hades II,Windows,Minimum RAM Required:,8 GB
Hades II,Windows,Media Type:,Download
Hades II,Windows,3D Graphics Cards / Accelerators Supported:,Nvidia (GeForce 10 series)
Hades II,Windows,3D Graphics Cards / Accelerators Supported:,Nvidia (GeForce 16 series)
Hades II,Windows,3D Graphics Cards / Accelerators Supported:,Nvidia (GeForce 20 series)
Hades II,Windows,Input Devices Supported/Optional:,Gamepad
Hades II,Windows,Input Devices Supported/Optional:,Keyboard
Hades II,Windows,Input Devices Supported/Optional:,Mouse
Hades II,Windows,Gamepads Supported:,DualShock 4
Hades II,Windows,Gamepads Supported:,DualSense Controller
Hades II,Windows,Gamepads Supported:,Xbox One/Series Wireless Controller
Hades II,Windows,Additional Hardware Required:,3D Accelerator
Hades II,Windows,Number of Offline Players:,1 Player
Hades II,Windows,Steam:,Achievements
Hades II,Windows,Steam:,Cloud
Hades II,Windows,Save Game Methods:,Internal Storage
Hades II,Windows,Save Game Methods:,Cloud (Online)
Elden Ring,Windows,Business Model:,Commercial
Elden Ring,Windows,Minimum CPU Class Required:,Intel Core i5-8xxx
Elden Ring,Windows,Minimum OS Class Required:,Windows 10
Elden Ring,Windows,Supported Systems/Models:,x64 (64-bit)
Elden Ring,Windows,Minimum RAM Required:,12 GB
Elden Ring,Windows,Minimum DirectX Version Required:,DirectX 12
Elden Ring,Windows,Drivers/APIs Supported:,Direct3D
Elden Ring,Windows,Media Type:,Download
Elden Ring,Windows,Minimum Video Memory Required:,3 GB
Elden Ring,Windows,Input Devices Supported/Optional:,Gamepad
Elden Ring,Windows,Input Devices Supported/Optional:,Keyboard
Elden Ring,Windows,Input Devices Supported/Optional:,Mouse
Elden Ring,Windows,Gamepads Supported:,Xbox One/Series Wireless Controller
Elden Ring,Windows,Additional Hardware Required:,3D Accelerator
Elden Ring,Windows,Multiplayer Options:,Internet
Elden Ring,Windows,Multiplayer Game Modes:,Co-Op
Elden Ring,Windows,Multiplayer Game Modes:,Team
Elden Ring,Windows,Number of Offline Players:,1 Player
Elden Ring,Windows,Number of Online Players:,2-4 Players
Elden Ring,Windows,Steam:,Achievements
Elden Ring,Windows,Steam:,Cloud
Elden Ring,Windows,Steam:,Trading cards
Elden Ring,Windows,Save Game Methods:,Internal Storage
Elden Ring,Windows,Save Game Methods:,Cloud (Online)
Elden Ring,Xbox One,Business Model:,Commercial
Elden Ring,Xbox One,Media Type:,Download
Elden Ring,Xbox One,Multiplayer Game Modes:,Co-Op
Elden Ring,Xbox One,Xbox/Windows Live:,Achievements
Elden Ring,Xbox Series,Business Model:,Commercial
Elden Ring,Xbox Series,Media Type:,Download
Elden Ring,Xbox Series,Multiplayer Game Modes:,Co-Op
Elden Ring,Xbox Series,Xbox/Windows Live:,Achievements
Metaphor: ReFantazio,Windows,Business Model:,Commercial
Metaphor: ReFantazio,Windows,Minimum CPU Class Required:,Intel Core i5-3xxx
Metaphor: ReFantazio,Windows,Minimum OS Class Required:,Windows 10
Metaphor: ReFantazio,Windows,Supported Systems/Models:,x64 (64-bit)
Metaphor: ReFantazio,Windows,Minimum RAM Required:,6 GB
Metaphor: ReFantazio,Windows,Minimum DirectX Version Required:,DirectX 11
Metaphor: ReFantazio,Windows,Media Type:,Download
Metaphor: ReFantazio,Windows,Minimum Video Memory Required:,4 GB
Metaphor: ReFantazio,Windows,Input Devices Supported/Optional:,Gamepad
Metaphor: ReFantazio,Windows,Input Devices Supported/Optional:,Keyboard
Metaphor: ReFantazio,Windows,Input Devices Supported/Optional:,Mouse
Metaphor: ReFantazio,Windows,Gamepads Supported:,DualShock 4
Metaphor: ReFantazio,Windows,Gamepads Supported:,DualSense Controller
Metaphor: ReFantazio,Windows,Gamepads Supported:,Xbox One/Series Wireless Controller
Metaphor: ReFantazio,Windows,Additional Hardware Required:,3D Accelerator
Metaphor: ReFantazio,Windows,Number of Offline Players:,1 Player
Metaphor: ReFantazio,Windows,Steam:,Achievements
Metaphor: ReFantazio,Windows,Steam:,Cloud
Metaphor: ReFantazio,Windows,Steam:,DLC available
Metaphor: ReFantazio,Windows,Steam:,Trading cards
Metaphor: ReFantazio,Windows,Save Game Methods:,Internal Storage
Metaphor: ReFantazio,Windows,Save Game Methods:,Cloud (Online)
Clair Obscur: Expedition 33,Windows,Business Model:,Commercial
Clair Obscur: Expedition 33,Windows,Minimum CPU Class Required:,Intel Core i7-8xxx
Clair Obscur: Expedition 33,Windows,Minimum OS Class Required:,Windows 10
Clair Obscur: Expedition 33,Windows,Supported Systems/Models:,x64 (64-bit)
Clair Obscur: Expedition 33,Windows,Minimum RAM Required:,8 GB
Clair Obscur: Expedition 33,Windows,Minimum DirectX Version Required:,DirectX 12
Clair Obscur: Expedition 33,Windows,Drivers/APIs Supported:,Direct3D
Clair Obscur: Expedition 33,Windows,Media Type:,Download
Clair Obscur: Expedition 33,Windows,Minimum Video Memory Required:,6 GB
Clair Obscur: Expedition 33,Windows,3D Graphics Cards / Accelerators Supported:,Nvidia (GeForce 10 series)
Clair Obscur: Expedition 33,Windows,3D Graphics Cards / Accelerators Supported:,Nvidia (GeForce 16 series)
Clair Obscur: Expedition 33,Windows,3D Graphics Cards / Accelerators Supported:,Nvidia (GeForce 20 series)
Clair Obscur: Expedition 33,Windows,3D Graphics Cards / Accelerators Supported:,Nvidia (GeForce 30 series)
Clair Obscur: Expedition 33,Windows,Input Devices Supported/Optional:,Gamepad
Clair Obscur: Expedition 33,Windows,Input Devices Supported/Optional:,Keyboard
