ESRB Rating,Early Childhood
ESRB Rating,Kids to Adults
ESRB Rating,Everyone
ESRB Rating,Everyone 10+
ESRB Rating,Teen
ESRB Rating,Mature
ESRB Rating,Adults Only
ESRB Rating,Unrated
PEGI Rating,3
PEGI Rating,7
PEGI Rating,12
PEGI Rating,16
PEGI Rating,18
PEGI Rating,Unrated
USK Rating,0 (ohne Altersbeschränkung)
USK Rating,6
USK Rating,12
USK Rating,16
USK Rating,18 (keine Jugendfreigabe)
USK Rating,keine Kennzeichnung
RARS Rating,0+
RARS Rating,6+
RARS Rating,12+
RARS Rating,16+
RARS Rating,18+
CERO Rating,Educational/Database
CERO Rating,Compliance with Regulations
CERO Rating,Examination Schedule
CERO Rating,All Ages
CERO Rating,12+
CERO Rating,15+
CERO Rating,18+
CERO Rating,A
CERO Rating,B
CERO Rating,C
CERO Rating,D
CERO Rating,Z
GRAC Rating,All
GRAC Rating,12+
GRAC Rating,15+
GRAC Rating,18+
GRAC Rating,19+
ACB Rating,G
ACB Rating,G8+
ACB Rating,M15+
ACB Rating,MA15+
ACB Rating,PG
ACB Rating,M
ACB Rating,MA 15+
ACB Rating,RC
ACB Rating,R18+
OFLC (New Zealand) Rating,G
OFLC (New Zealand) Rating,PG
OFLC (New Zealand) Rating,M
OFLC (New Zealand) Rating,R13
OFLC (New Zealand) Rating,R16
OFLC (New Zealand) Rating,R18
OFLC (New Zealand) Rating,Objectionable
ClassInd Rating,L
ClassInd Rating,10
ClassInd Rating,12
ClassInd Rating,14
ClassInd Rating,16
ClassInd Rating,18
SMECCV Rating,A (Todo Público)
SMECCV Rating,B (+12 Años)
SMECCV Rating,B15 (+15 Años)
SMECCV Rating,C (Adultos +18 Años)
SMECCV Rating,D (Exclusivo Adultos)
FPB Rating,A
FPB Rating,13
FPB Rating,16
FPB Rating,18
GSRR/TESRI Rating,General (0+)
GSRR/TESRI Rating,Protected (6+)
GSRR/TESRI Rating,Parental Guidance
GSRR/TESRI Rating,Parental Guidance (12+)
GSRR/TESRI Rating,Parental Guidance (15+)
GSRR/TESRI Rating,Restricted (18+)
NMC Rating,3
NMC Rating,7
NMC Rating,12
NMC Rating,16
NMC Rating,18
NMC Rating,21
GCAM Rating,3
GCAM Rating,7
GCAM Rating,12
GCAM Rating,16
GCAM Rating,18
IMDA rating,For all ages
IMDA rating,ADV16
IMDA rating,M18
CCC (Chile) Rating,Especialmente Recomendado (ER)
CCC (Chile) Rating,Toda Edad (TE)
CCC (Chile) Rating,8+
CCC (Chile) Rating,14+
CCC (Chile) Rating,18+
ESRA Rating,3+
ESRA Rating,7+
ESRA Rating,12+
ESRA Rating,15+
ESRA Rating,18+
ESRA Rating,25+
IARC Rating,3+
IARC Rating,7+
IARC Rating,12+
IARC Rating,16+
IARC Rating,18+
VRCR Rating,Comfortable
VRCR Rating,Moderate
VRCR Rating,Intense
VRCR Rating,Unrated
Apple Rating,4+
Apple Rating,9+
Apple Rating,12+
Apple Rating,17+
Amazon Rating,All Ages
