Acorn 32-bit Games List,"The Acorn 32-bit were a generation of computers by Acorn Computers Ltd., which utilized the Advanced RISC Machines (ARM) architecture and ran on the RISC Operating System. First introduced in 1987, the Acorn Archimedes was a successor to the BBC Micro with faster speed and a simpler design. Other 32-bit models to follow were:",1987–2024
AirConsole Games List,There are 6 video games on AirConsole.      They were released between the years 2016 and 2020.   10 developers and publishers are credited with these titles!,2016–2020
Amazon Alexa Games List,There are 11 video games on Amazon Alexa.      They were released between the years 2018 and 2021.   25 people from 17 developers and publishers are credited with these titles!,2018–2021
Amiga Games List,"There are 3,929 video games on Amiga.      They were released between the years 1985 and 2025.   9,899 people from 1,780 developers and publishers are credited with these titles!",1985–2025
Amiga CD32 Games List,"The Amiga CD32 was a short-lived console, and the last platform developed by Commodore. Released in Europe on September 1993, the console fully utilized CD-based functions, used a Gamepad instead of a keyboard, was compatible with CDTV games, and was said to be the first 32-bit gaming console on the market. However, the console could not keep up with the capabilities of competing systems. As a result, the CD32 never made it to the North American market, and production was stopped on April 1994, while the company behind it went bankrupt.",1993–2025
Amstrad CPC Games List,"There are 2,345 video games on Amstrad CPC.      They were released between the years 1984 and 2025.   1,927 people from 789 developers and publishers are credited with these titles!",1984–2025
Amstrad PCW Games List,There are 126 video games on Amstrad PCW.      They were released between the years 1985 and 2020.   84 people from 79 developers and publishers are credited with these titles!,1985–2020
Android Games List,"There are 12,834 video games on Android.      They were released between the years 2007 and 2026.   78,977 people from 8,272 developers and publishers are credited with these titles!",2007–2026
Antstream Games List,"There are 1,064 video games on Antstream.      They were released between the years 2014 and 2025.   50 people from 416 developers and publishers are credited with these titles!",2014–2025
Apple II Games List,"The Apple II (stylized Apple ][) is a microcomputer released in June 1977 and the first big successful computer product by the Apple Computer Company. The Apple II was in many ways an upgraded of its predecessor, the Apple I.",1977–2023
Apple IIgs Games List,There are 220 video games on Apple IIgs.      They were released between the years 1986 and 2024.   611 people from 154 developers and publishers are credited with these titles!,1986–2024
Arcade Games List,"Games documented under the Arcade platform aren't so much released on a unified platform, but often custom-built standalone games. What Arcade games have in common is that they are meant to be played in a public space. The games are released as robust self-contained units containing both the screen, input (buttons, joysticks, etc.) and internal hard- and software to make it all work. Traditionally Arcade machines are coin-operated, but they can also be free of charge in public exhibitions or use other payment methods to initiate a game.",1950–2025
Atari 2600 Games List,"The Atari 2600 was released in September 1977 by Atari, Inc for $189.95 (inflation adjusted: $945.70 in 2023). Branded as the Atari Video Computer System (Atari VCS) from its release until November 1982, the VCS was bundled with two joystick controllers, a pair of paddle controllers, and a game cartridge (initially Combat and later Pac-Man).",1977–2024
Atari 5200 Games List,There are 87 video games on Atari 5200.      They were released between the years 1982 and 2025.   101 people from 55 developers and publishers are credited with these titles!,1982–2025
Atari 7800 Games List,There are 75 video games on Atari 7800.      They were released between the years 1986 and 2025.   97 people from 49 developers and publishers are credited with these titles!,1986–2025
Atari 8-bit Games List,The Atari 8-bit platform documents games for 8-bit microcomputers by Atari. The computers were built around the MOS Technology 6502 chip and ran Atari DOS as an operating system. Most models ran Atari BASIC.,1979–2025
Atari ST Games List,"There are 2,499 video games on Atari ST.      They were released between the years 1985 and 2024.   3,949 people from 1,047 developers and publishers are credited with these titles!",1985–2024
Atari VCS Games List,There are 72 video games on Atari VCS.      They were released between the years 2020 and 2025.   10 people from 46 developers and publishers are credited with these titles!,2020–2025
Atom Games List,The Atom is a 8-bit microcomputer created by Acorn Computers and marketed in the UK. The computer used the MOS Technology 6502 microprocessor and was intended for the home market.,1980–2023
BBC Micro Games List,The BBC Microcomputer System or BBC Micro is a series of computers designed by Acorn Computers for the British broadcaster BBC. The aim of the computer was to increase computer literacy in the UK. It was adopted by most schools in the country. The computers were based on the MOS Technology 6502 processor.,1981–2025
Blacknut Games List,There are 500 video games on Blacknut.      They were released between the years 2018 and 2025.   748 developers and publishers are credited with these titles!,2018–2025
Browser Games List,"There are 6,421 video games on Browser.      They were released between the years 1994 and 2025.   22,847 people from 2,796 developers and publishers are credited with these titles!",1994–2025
Casio FP-1000/1100 Games List,"The Casio FP-1000 and FP-1100 are Japanese 8-bit Microcomputers based around the Zilog Z80 clone, the NEC PD8780-1, as a processor. The computer could run CP/M as an operating system.",1983–2023
Casio PV-1000 Games List,There are 13 video games on Casio PV-1000.      They were released between the years 1983 and 2023.   1 people from 6 developers and publishers are credited with these titles!,1983–2023
CD-i Games List,"There are 216 video games on CD-i.      They were released between the years 1990 and 2022.   3,559 people from 188 developers and publishers are credited with these titles!",1990–2022
Channel F Games List,"Channel F, short for Channel Fun, is a second generation video game console by Fairchild. Released in November 1976, the console was initially marketed as the ""Video Entertainment System"", but was rebranded to avoid confusion with Atari's Video Computer System. In 1979 all rights were sold to Zircon International. The console's production was discontinued in 1983 after the video game crash.",1976–2022
ColecoVision Games List,The ColecoVision is an 8-bit console of the second generation of consoles. It was released in August 1982 in North America and in Europe in 1983. The console was discontinued in 1985 when manufacturer Coleco withdrew from the video games market.,1982–2025
