Business Model:,Commercial
Minimum OS Class Required:,macOS 10.15.6
Supported Systems/Models:,x64 (64-bit)
Minimum RAM Required:,8 GB
Drivers/APIs Supported:,Vulkan
Media Type:,Download
Minimum Video Memory Required:,4 GB
Input Devices Supported/Optional:,Gamepad
Input Devices Supported/Optional:,Keyboard
Input Devices Supported/Optional:,Mouse
Gamepads Supported:,DualShock 4
Gamepads Supported:,Xbox One/Series Wireless Controller
Additional Hardware Required:,3D Accelerator
Multiplayer Options:,Internet
Multiplayer Options:,LAN
Multiplayer Options:,Same/Split-Screen
Multiplayer Game Modes:,Co-Op
Number of Offline Players:,1-2 Players
Number of Online Players:,2-4 Players
GOG.com:,Achievements
GOG.com:,Cloud saves
GOG.com:,Co-op
GOG.com:,Overlay
GOG.com:,Single-player
Steam:,Achievements
Steam:,Cloud
Steam:,Cross-platform
Steam:,Trading cards
Steam:,Remote Play on TV
Steam:,Remote Play Together
Save Game Methods:,Auto-save
Save Game Methods:,Manual Save
Save Game Methods:,Internal Storage
Save Game Methods:,Cloud (Online)
Miscellaneous Attributes:,Cross-platform Play
Business Model:,Commercial
Minimum CPU Class Required:,Intel Core i5-4xxx
Minimum OS Class Required:,Windows 7 SP1
Supported Systems/Models:,x64 (64-bit)
Minimum RAM Required:,8 GB
Minimum DirectX Version Required:,DirectX 11
Drivers/APIs Supported:,Direct3D
Drivers/APIs Supported:,Vulkan
Media Type:,Download
Minimum Video Memory Required:,4 GB
Input Devices Supported/Optional:,Gamepad
Input Devices Supported/Optional:,Keyboard
Input Devices Supported/Optional:,Mouse
Gamepads Supported:,DualShock 4
Gamepads Supported:,DualSense Controller
Gamepads Supported:,Xbox One/Series Wireless Controller
Additional Hardware Required:,3D Accelerator
Multiplayer Options:,Internet
Multiplayer Options:,LAN
Multiplayer Options:,Same/Split-Screen
Multiplayer Game Modes:,Co-Op
Number of Offline Players:,1-2 Players
Number of Online Players:,2-4 Players
GOG.com:,Achievements
GOG.com:,Cloud saves
GOG.com:,Co-op
GOG.com:,Overlay
GOG.com:,Single-player
Steam:,Achievements
Steam:,Cloud
Steam:,Cross-platform
Steam:,Trading cards
Steam:,Remote Play on TV
Steam:,Remote Play Together
Save Game Methods:,Auto-save
Save Game Methods:,Manual Save
Save Game Methods:,Internal Storage
Save Game Methods:,Cloud (Online)
Miscellaneous Attributes:,Cross-platform Play
Business Model:,Commercial
Media Type:,Download
Color Depth:,HDR (High Dynamic Range)
Multiplayer Game Modes:,Co-Op
Number of Online Players:,2-4 Players
Xbox/Windows Live:,Achievements
Business Model:,Commercial
Media Type:,Download
Media Type:,Game Card
Input Devices Supported/Optional:,Joy-Con
Input Devices Supported/Optional:,Nintendo Switch Pro Controller
Input Devices Supported/Optional:,Touch Screen
Number of Offline Players via Handheld Mode:,1 Player
Number of Offline Players via Tabletop Mode:,1 Player
Number of Offline Players via TV Mode:,1 Player
Nintendo Switch Online:,Save Data Cloud
Miscellaneous Attributes:,Amiibo
Miscellaneous Attributes:,Handheld mode compatible
Miscellaneous Attributes:,Tabletop mode compatible
Miscellaneous Attributes:,TV mode compatible
Business Model:,Commercial
Media Type:,Download
Media Type:,UHD Blu-ray Disc
Input Devices Supported/Optional:,Gamepad
Input Device Features Supported:,Vibration
Input Device Features Supported:,Trigger Effect
Gamepads Supported:,DualSense Controller
Number of Offline Players:,1 Player
PlayStation Network:,Trophies
Miscellaneous Attributes:,Remote Play
Business Model:,Commercial
Media Type:,Download
Media Type:,Game Card
Input Devices Supported/Optional:,Joy-Con
Input Devices Supported/Optional:,Nintendo Switch Pro Controller
Input Devices Supported/Optional:,Touch Screen
Number of Offline Players via Handheld Mode:,1 Player
Number of Offline Players via Tabletop Mode:,1 Player
Number of Offline Players via TV Mode:,1 Player
Nintendo Switch Online:,Save Data Cloud
Miscellaneous Attributes:,Handheld mode compatible
Miscellaneous Attributes:,Tabletop mode compatible
Miscellaneous Attributes:,TV mode compatible
Business Model:,Commercial
Minimum OS Class Required:,macOS 12 (Monterey)
Supported Systems/Models:,x64 (64-bit)
Media Type:,Download
Input Devices Supported/Optional:,Gamepad
Input Devices Supported/Optional:,Keyboard
Input Devices Supported/Optional:,Mouse
Gamepads Supported:,DualShock 4
Gamepads Supported:,DualSense Controller
Gamepads Supported:,Xbox One/Series Wireless Controller
Additional Hardware Required:,3D Accelerator
Number of Offline Players:,1 Player
Steam:,Achievements
Steam:,Cloud
Save Game Methods:,Internal Storage
Save Game Methods:,Cloud (Online)
Business Model:,Commercial
Minimum OS Class Required:,Windows 10
Supported Systems/Models:,x64 (64-bit)
Minimum RAM Required:,8 GB
Media Type:,Download
3D Graphics Cards / Accelerators Supported:,Nvidia (GeForce 10 series)
